run_id,ticker,symbol,verdict,contract_type,strike_price,lots,total_shares,spot_entry,option_premium,spot_sl,spot_target,waterfall_score,position_value_inr,brokerage_fee_inr,total_cost_inr,executed_at,exit_price,exit_reason,realized_pnl_inr,realized_pnl_pct
RELIANCE_SCALP_CE_20260808_061737,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,10,10,522.0,50.0,514.17,537.66,8.5,500.0,20.0,22.0,2026-08-08T06:17:37.345944Z,,,,
RELIANCE_SCALP_CE_20260808_061737,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,1,1,123.0,100.0,121.16,126.69,8.2,100.0,20.0,23.0,2026-08-08T06:17:37.363061Z,,,,
RELIANCE_SCALP_CE_20260808_061854,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,1,250,2500.0,40.0,2462.5,2575.0,8.5,10000.0,20.0,43.76,2026-08-08T06:18:54.230187Z,0.5,eod_squareoff,-9898.76,-98.99
NIFTY_OPTION_CE_20260808_061854,^NSEI,NIFTY,BUY_CE,OPTION_CE,24000.0,2,50,24000.0,150.0,23640.0,24720.0,9.0,7500.0,20.0,81.97,2026-08-08T06:18:54.230888Z,613.29,eod_squareoff,23102.53,308.03
RELIANCE_1,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,1,250,12500.0,50.0,12000.0,13000.0,8.0,12500.0,20.0,43.76,2026-08-08T06:18:58.766633Z,0.5,sl_hit,-12398.76,-99.19
RELIANCE_1,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,1,250,12500.0,50.0,12000.0,13000.0,8.0,12500.0,20.0,43.76,2026-08-08T06:18:59.518066Z,0.5,eod_squareoff,-12398.76,-99.19
RELIANCE_1,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,1,250,12500.0,50.0,12000.0,13000.0,8.0,12500.0,20.0,43.76,2026-08-08T06:19:00.310587Z,0.5,sl_hit,-12398.76,-99.19
RELIANCE_CASH_BUY_20260808_061938,RELIANCE.NS,RELIANCE,CASH_BUY,EQUITY_CASH,0.0,1,56,1334.8,1334.8,1321.45,1354.82,8.5,74748.8,20.0,74768.8,2026-08-08T06:19:38.532322Z,,,,
ICICIBANK_CASH_SELL_20260808_061938,ICICIBANK.NS,ICICIBANK,CASH_SELL,EQUITY_CASH,0.0,1,52,1421.0,1421.0,1435.21,1399.68,2.2,73892.0,20.0,73912.0,2026-08-08T06:19:38.544314Z,,,,
TCS_CASH_BUY_20260808_061938,TCS.NS,TCS,CASH_BUY,EQUITY_CASH,0.0,1,30,2452.7,2452.7,2428.17,2489.49,8.5,73581.0,20.0,73601.0,2026-08-08T06:19:38.560678Z,,,,
BHARTIARTL_CASH_BUY_20260808_061938,BHARTIARTL.NS,BHARTIARTL,CASH_BUY,EQUITY_CASH,0.0,1,38,1959.9,1959.9,1940.3,1989.3,8.5,74476.2,20.0,74496.2,2026-08-08T06:19:38.567674Z,,,,
MARUTI_CASH_BUY_20260808_061938,MARUTI.NS,MARUTI,CASH_BUY,EQUITY_CASH,0.0,1,5,14037.0,14037.0,13896.63,14247.56,8.0,70185.0,20.0,70205.0,2026-08-08T06:19:38.593549Z,,,,
RELIANCE_1,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,1,250,12500.0,50.0,12000.0,13000.0,8.0,12500.0,20.0,43.76,2026-08-08T06:19:42.184786Z,0.5,sl_hit,-12398.76,-99.19
RELIANCE_1,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,1,250,12500.0,50.0,12000.0,13000.0,8.0,12500.0,20.0,43.76,2026-08-08T06:19:44.217575Z,0.5,eod_squareoff,-12398.76,-99.19
RELIANCE_1,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,2500.0,1,250,12500.0,50.0,12000.0,13000.0,8.0,12500.0,20.0,43.76,2026-08-08T06:19:45.152197Z,0.5,sl_hit,-12398.76,-99.19
RELIANCE_SCALP_CE_20260808_061957,RELIANCE.NS,RELIANCE,SCALP_CE,SCALP_CE,1320.0,5,1250,1334.8,19.43,1314.78,1374.84,10.0,24287.5,20.0,38.81,2026-08-08T06:19:57.243770Z,,,,
HDFCBANK_SCALP_PE_20260808_061957,HDFCBANK.NS,HDFCBANK,SCALP_PE,SCALP_PE,740.0,3,1650,731.0,9.99,741.96,709.07,9.0,16483.5,20.0,33.93,2026-08-08T06:19:57.692447Z,,,,
ICICIBANK_SCALP_PE_20260808_061958,ICICIBANK.NS,ICICIBANK,SCALP_PE,SCALP_PE,1430.0,1,700,1421.0,13.59,1442.31,1378.37,9.0,9513.0,20.0,29.56,2026-08-08T06:19:58.168386Z,,,,
INFY_SCALP_CE_20260808_061958,INFY.NS,INFY,SCALP_CE,SCALP_CE,1160.0,2,800,1175.1,18.73,1157.47,1210.35,7.84,14984.0,20.0,32.99,2026-08-08T06:19:58.658771Z,,,,
TCS_SCALP_CE_20260808_061959,TCS.NS,TCS,SCALP_CE,SCALP_CE,2400.0,1,175,2452.7,57.3,2415.91,2526.28,10.0,10027.5,20.0,29.88,2026-08-08T06:19:59.069850Z,,,,
BHARTIARTL_SCALP_CE_20260808_062000,BHARTIARTL.NS,BHARTIARTL,SCALP_CE,SCALP_CE,1940.0,1,475,1959.9,27.15,1930.5,2018.7,10.0,12896.25,20.0,31.68,2026-08-08T06:20:00.346439Z,,,,
HINDALCO_SCALP_CE_20260808_062002,HINDALCO.NS,HINDALCO,SCALP_CE,SCALP_CE,1050.0,1,1400,1059.6,13.82,1043.71,1091.39,7.48,19348.0,20.0,35.72,2026-08-08T06:20:02.568138Z,,,,
